sub	learn-uncertainty	t	cond	onset	open_d	door	door_p	tgt_door	tgt_found	x	y
1	2	1	1	1.717	0	0	0.000	9	0	1516	1575.000
1	2	1	1	1.733	0	0	0.000	9	0	1516	1575.000
1	2	1	1	1.750	0	0	0.000	9	0	1513	1576.000
1	2	1	1	1.766	0	0	0.000	9	0	1507	1578.000
1	2	1	1	1.783	0	0	0.000	9	0	1493	1582.000
1	2	1	1	1.800	0	0	0.000	9	0	1474	1587.000
1	2	1	1	1.816	0	0	0.000	9	0	1443	1593.000
1	2	1	1	1.833	0	0	0.000	9	0	1410	1605.000
1	2	1	1	1.850	0	0	0.000	9	0	1391	1608.000
1	2	1	1	1.866	0	0	0.000	9	0	1365	1615.000
1	2	1	1	1.883	0	0	0.000	9	0	1334	1627.000
1	2	1	1	1.900	0	0	0.000	9	0	1307	1645.000
1	2	1	1	1.916	0	0	0.000	9	0	1289	1660.000
1	2	1	1	1.933	0	0	0.000	9	0	1276	1671.000
1	2	1	1	1.950	0	0	0.000	9	0	1266	1682.000
1	2	1	1	1.967	0	0	0.000	9	0	1256	1690.000
1	2	1	1	1.983	0	0	0.000	9	0	1256	1690.000
1	2	1	1	2.000	0	0	0.000	9	0	1256	1690.000
1	2	1	1	2.016	0	0	0.000	9	0	1256	1690.000
1	2	1	1	2.033	0	0	0.000	9	0	1256	1690.000
1	2	1	1	2.050	0	0	0.000	9	0	1256	1690.000
1	2	1	1	2.066	0	0	0.000	9	0	1256	1690.000
1	2	1	1	2.083	0	0	0.000	9	0	1256	1690.000
1	2	1	1	2.100	0	0	0.000	9	0	1259	1689.000
1	2	1	1	2.116	0	0	0.000	9	0	1272	1679.000
1	2	1	1	2.133	0	0	0.000	9	0	1303	1647.000
1	2	1	1	2.150	0	0	0.000	9	0	1340	1612.000
1	2	1	1	2.166	0	0	0.000	9	0	1367	1587.000
1	2	1	1	2.183	0	0	0.000	9	0	1371	1585.000
1	2	1	1	2.200	0	0	0.000	9	0	1371	1585.000
1	2	1	1	2.216	0	0	0.000	9	0	1371	1585.000
1	2	1	1	2.233	0	0	0.000	9	0	1371	1585.000
1	2	1	1	2.250	0	0	0.000	9	0	1371	1585.000
1	2	1	1	2.266	0	0	0.000	9	0	1371	1585.000
1	2	1	1	2.283	0	0	0.000	9	0	1371	1585.000
1	2	1	1	2.300	0	0	0.000	9	0	1371	1585.000
1	2	1	1	2.316	0	0	0.000	9	0	1371	1585.000
1	2	1	1	2.333	0	0	0.000	9	0	1371	1585.000
1	2	1	1	2.350	0	0	0.000	9	0	1371	1585.000
1	2	1	1	2.366	0	0	0.000	9	0	1371	1585.000
1	2	1	1	2.383	0	0	0.000	9	0	1373	1583.000
1	2	1	1	2.400	0	0	0.000	9	0	1377	1576.000
1	2	1	1	2.416	0	0	0.000	9	0	1397	1549.000
1	2	1	1	2.433	0	0	0.000	9	0	1407	1537.000
1	2	1	1	2.450	0	0	0.000	9	0	1418	1524.000
1	2	1	1	2.466	0	0	0.000	9	0	1429	1513.000
1	2	1	1	2.483	0	0	0.000	9	0	1443	1498.000
1	2	1	1	2.500	0	0	0.000	9	0	1469	1477.000
1	2	1	1	2.516	0	0	0.000	9	0	1489	1462.000
1	2	1	1	2.533	0	0	0.000	9	0	1506	1448.000
1	2	1	1	2.551	0	0	0.000	9	0	1541	1423.000
1	2	1	1	2.566	0	0	0.000	9	0	1557	1410.000
1	2	1	1	2.583	0	0	0.000	9	0	1569	1402.000
1	2	1	1	2.600	9	4	0.000	9	0	1583	1393.000
1	2	1	1	2.616	9	4	0.000	9	0	1592	1389.000
1	2	1	1	2.633	9	4	0.000	9	0	1596	1387.000
1	2	1	1	2.650	9	4	0.000	9	0	1599	1385.000
1	2	1	1	2.666	9	4	0.000	9	0	1601	1384.000
1	2	1	1	2.683	9	4	0.000	9	0	1606	1381.000
1	2	1	1	2.700	9	4	0.000	9	0	1608	1379.000
1	2	1	1	2.716	9	4	0.000	9	0	1613	1376.000
1	2	1	1	2.733	9	4	0.000	9	0	1614	1376.000
1	2	1	1	2.750	9	4	0.000	9	0	1614	1376.000
1	2	1	1	2.767	9	4	0.000	9	0	1614	1376.000
1	2	1	1	2.783	9	4	0.000	9	0	1614	1376.000
1	2	1	1	2.800	9	4	0.000	9	0	1614	1376.000
1	2	1	1	2.816	9	4	0.000	9	0	1614	1376.000
1	2	1	1	2.833	9	4	0.000	9	0	1614	1376.000
1	2	1	1	2.850	9	4	0.000	9	0	1614	1376.000
1	2	1	1	2.866	9	4	0.000	9	0	1614	1376.000
1	2	1	1	2.883	9	4	0.000	9	0	1614	1376.000
1	2	1	1	2.900	9	4	0.000	9	0	1614	1376.000
1	2	1	1	2.917	9	4	0.000	9	0	1614	1376.000
1	2	1	1	2.933	9	4	0.000	9	0	1614	1376.000
1	2	1	1	2.950	9	4	0.000	9	0	1614	1376.000
1	2	1	1	2.966	9	4	0.000	9	0	1614	1376.000
1	2	1	1	2.983	9	4	0.000	9	0	1614	1376.000
1	2	1	1	3.000	9	4	0.000	9	0	1614	1376.000
1	2	1	1	3.016	9	4	0.000	9	0	1614	1376.000
1	2	1	1	3.033	9	4	0.000	9	0	1614	1376.000
1	2	1	1	3.050	9	4	0.000	9	0	1614	1376.000
1	2	1	1	3.067	1	4	0.250	9	0	1614	1376.000
