sub	learn-doors	t	cond	onset	open_d	door	door_p	tgt_door	tgt_found	x	y
1	1	1	3	0.034	9	3	0.000	12	0	1646	1223.000
1	1	1	3	0.050	9	3	0.000	12	0	1649	1219.000
1	1	1	3	0.067	9	3	0.000	12	0	1652	1215.000
1	1	1	3	0.084	9	3	0.000	12	0	1652	1215.000
1	1	1	3	0.101	9	3	0.000	12	0	1652	1215.000
1	1	1	3	0.117	9	3	0.000	12	0	1652	1215.000
1	1	1	3	0.133	9	3	0.000	12	0	1652	1215.000
1	1	1	3	0.150	9	3	0.000	12	0	1652	1215.000
1	1	1	3	0.167	9	3	0.000	12	0	1652	1215.000
1	1	1	3	0.183	9	3	0.000	12	0	1652	1215.000
1	1	1	3	0.200	9	3	0.000	12	0	1652	1215.000
1	1	1	3	0.217	9	3	0.000	12	0	1652	1215.000
1	1	1	3	0.233	9	3	0.000	12	0	1658	1213.000
1	1	1	3	0.250	9	3	0.000	12	0	1678	1207.000
1	1	1	3	0.267	0	0	0.000	12	0	1699	1198.000
1	1	1	3	0.284	0	0	0.000	12	0	1722	1188.000
1	1	1	3	0.300	0	0	0.000	12	0	1751	1173.000
1	1	1	3	0.317	0	0	0.000	12	0	1763	1165.000
1	1	1	3	0.333	9	7	0.000	12	0	1770	1161.000
1	1	1	3	0.350	9	7	0.000	12	0	1770	1161.000
1	1	1	3	0.367	9	7	0.000	12	0	1770	1161.000
1	1	1	3	0.383	9	7	0.000	12	0	1782	1172.000
1	1	1	3	0.400	9	7	0.000	12	0	1794	1196.000
1	1	1	3	0.417	0	0	0.000	12	0	1808	1235.000
1	1	1	3	0.433	0	0	0.000	12	0	1821	1272.000
1	1	1	3	0.450	9	8	0.000	12	0	1837	1312.000
1	1	1	3	0.467	9	8	0.000	12	0	1845	1328.000
1	1	1	3	0.483	9	8	0.000	12	0	1846	1334.000
1	1	1	3	0.500	9	8	0.000	12	0	1847	1338.000
1	1	1	3	0.517	9	8	0.000	12	0	1847	1338.000
1	1	1	3	0.533	9	8	0.000	12	0	1847	1338.000
1	1	1	3	0.550	9	8	0.000	12	0	1847	1338.000
1	1	1	3	0.567	9	8	0.000	12	0	1846	1338.000
1	1	1	3	0.583	9	8	0.000	12	0	1846	1338.000
1	1	1	3	0.600	9	8	0.000	12	0	1846	1339.000
1	1	1	3	0.617	9	8	0.000	12	0	1853	1344.000
1	1	1	3	0.633	0	0	0.000	12	0	1897	1351.000
1	1	1	3	0.650	9	12	0.000	12	0	1980	1355.000
1	1	1	3	0.667	9	12	0.000	12	0	2066	1355.000
1	1	1	3	0.683	0	0	0.000	12	0	2124	1355.000
1	1	1	3	0.700	9	16	0.000	12	0	2166	1355.000
1	1	1	3	0.717	9	16	0.000	12	0	2192	1354.000
1	1	1	3	0.733	9	16	0.000	12	0	2194	1354.000
1	1	1	3	0.750	9	16	0.000	12	0	2194	1354.000
1	1	1	3	0.767	9	16	0.000	12	0	2194	1354.000
1	1	1	3	0.783	9	16	0.000	12	0	2194	1354.000
1	1	1	3	0.800	9	16	0.000	12	0	2194	1354.000
1	1	1	3	0.817	9	16	0.000	12	0	2194	1354.000
1	1	1	3	0.833	9	16	0.000	12	0	2194	1354.000
1	1	1	3	0.850	9	16	0.000	12	0	2194	1354.000
1	1	1	3	0.867	9	16	0.000	12	0	2191	1355.000
1	1	1	3	0.884	9	16	0.000	12	0	2183	1360.000
1	1	1	3	0.900	9	16	0.000	12	0	2165	1367.000
1	1	1	3	0.917	9	16	0.000	12	0	2152	1371.000
1	1	1	3	0.934	0	0	0.000	12	0	2137	1374.000
1	1	1	3	0.950	0	0	0.000	12	0	2129	1375.000
1	1	1	3	0.967	0	0	0.000	12	0	2122	1375.000
1	1	1	3	0.984	0	0	0.000	12	0	2122	1375.000
1	1	1	3	1.000	0	0	0.000	12	0	2122	1375.000
1	1	1	3	1.017	0	0	0.000	12	0	2121	1375.000
1	1	1	3	1.034	0	0	0.000	12	0	2121	1375.000
1	1	1	3	1.051	0	0	0.000	12	0	2114	1375.000
1	1	1	3	1.067	0	0	0.000	12	0	2102	1375.000
1	1	1	3	1.084	0	0	0.000	12	0	2080	1375.000
1	1	1	3	1.100	9	12	0.000	12	0	2052	1375.000
1	1	1	3	1.117	9	12	0.000	12	0	2011	1373.000
1	1	1	3	1.134	9	12	0.000	12	0	1993	1371.000
1	1	1	3	1.150	9	12	0.000	12	0	1983	1369.000
1	1	1	3	1.167	9	12	0.000	12	0	1982	1369.000
1	1	1	3	1.184	9	12	0.000	12	0	1982	1369.000
1	1	1	3	1.200	9	12	0.000	12	0	1982	1369.000
1	1	1	3	1.217	9	12	0.000	12	0	1982	1369.000
1	1	1	3	1.234	1	12	0.062	12	0	1982	1369.000
1	1	1	3	1.250	1	12	0.062	12	1	1982	1369.000
1	1	1	3	1.299	10	12	0.062	12	1	1982	1369.000
1	1	1	3	1.334	10	12	0.062	12	1	1982	1369.000
1	1	1	3	1.380	10	12	0.062	12	1	1982	1369.000
1	1	1	3	1.396	10	12	0.062	12	1	1985	1369.000
1	1	1	3	1.413	10	12	0.062	12	1	1986	1369.000
1	1	1	3	1.429	10	12	0.062	12	1	1987	1369.000
1	1	1	3	1.444	10	12	0.062	12	1	1992	1369.000
1	1	1	3	1.459	10	12	0.062	12	1	1999	1369.000
1	1	1	3	1.474	10	12	0.062	12	1	2004	1369.000
1	1	1	3	1.490	10	12	0.062	12	1	2016	1368.000
1	1	1	3	1.505	10	12	0.062	12	1	2028	1366.000
1	1	1	3	1.520	10	12	0.062	12	1	2034	1364.000
1	1	1	3	1.535	10	12	0.062	12	1	2039	1361.000
1	1	1	3	1.550	10	12	0.062	12	1	2041	1358.000
1	1	1	3	1.565	10	12	0.062	12	1	2042	1356.000
1	1	1	3	1.580	10	12	0.062	12	1	2043	1353.000
1	1	1	3	1.595	10	12	0.062	12	1	2047	1349.000
1	1	1	3	1.611	10	12	0.062	12	1	2051	1345.000
1	1	1	3	1.626	10	12	0.062	12	1	2059	1336.000
1	1	2	3	0.033	0	0	0.000	15	0	2064	1323.000
1	1	2	3	0.050	0	0	0.000	15	0	2064	1323.000
1	1	2	3	0.067	0	0	0.000	15	0	2064	1323.000
1	1	2	3	0.083	0	0	0.000	15	0	2064	1323.000
1	1	2	3	0.099	0	0	0.000	15	0	2064	1323.000
1	1	2	3	0.116	0	0	0.000	15	0	2064	1323.000
1	1	2	3	0.133	0	0	0.000	15	0	2064	1323.000
1	1	2	3	0.149	0	0	0.000	15	0	2064	1323.000
1	1	2	3	0.166	0	0	0.000	15	0	2064	1323.000
1	1	2	3	0.183	0	0	0.000	15	0	2064	1323.000
1	1	2	3	0.199	0	0	0.000	15	0	2064	1323.000
1	1	2	3	0.216	0	0	0.000	15	0	2064	1323.000
1	1	2	3	0.233	0	0	0.000	15	0	2064	1323.000
1	1	2	3	0.249	0	0	0.000	15	0	2064	1323.000
1	1	2	3	0.258	0	0	0.000	15	0	2064	1323.000
1	1	2	3	0.268	0	0	0.000	15	0	2064	1323.000
1	1	2	3	0.285	0	0	0.000	15	0	2065	1323.000
1	1	2	3	0.302	0	0	0.000	15	0	2065	1323.000
1	1	2	3	0.318	0	0	0.000	15	0	2065	1323.000
1	1	2	3	0.335	0	0	0.000	15	0	2065	1323.000
1	1	2	3	0.352	0	0	0.000	15	0	2065	1323.000
1	1	2	3	0.368	0	0	0.000	15	0	2065	1323.000
1	1	2	3	0.385	0	0	0.000	15	0	2065	1323.000
1	1	2	3	0.402	0	0	0.000	15	0	2066	1318.000
1	1	2	3	0.418	0	0	0.000	15	0	2066	1302.000
1	1	2	3	0.435	0	0	0.000	15	0	2066	1288.000
1	1	2	3	0.452	0	0	0.000	15	0	2065	1277.000
1	1	2	3	0.468	0	0	0.000	15	0	2065	1266.000
1	1	2	3	0.485	0	0	0.000	15	0	2065	1263.000
1	1	2	3	0.502	0	0	0.000	15	0	2064	1260.000
1	1	2	3	0.518	0	0	0.000	15	0	2060	1250.000
1	1	2	3	0.535	0	0	0.000	15	0	2059	1247.000
1	1	2	3	0.552	0	0	0.000	15	0	2059	1247.000
1	1	2	3	0.568	0	0	0.000	15	0	2059	1247.000
1	1	2	3	0.585	0	0	0.000	15	0	2060	1245.000
1	1	2	3	0.602	0	0	0.000	15	0	2070	1242.000
1	1	2	3	0.618	0	0	0.000	15	0	2093	1239.000
1	1	2	3	0.635	0	0	0.000	15	0	2117	1236.000
1	1	2	3	0.652	0	0	0.000	15	0	2142	1231.000
1	1	2	3	0.668	0	0	0.000	15	0	2163	1228.000
1	1	2	3	0.685	9	15	0.000	15	0	2174	1227.000
1	1	2	3	0.702	9	15	0.000	15	0	2175	1227.000
1	1	2	3	0.718	9	15	0.000	15	0	2175	1227.000
1	1	2	3	0.735	9	15	0.000	15	0	2175	1227.000
1	1	2	3	0.752	9	15	0.000	15	0	2175	1227.000
1	1	2	3	0.768	9	15	0.000	15	0	2175	1227.000
1	1	2	3	0.785	9	15	0.000	15	0	2176	1224.000
1	1	2	3	0.802	9	15	0.000	15	0	2184	1209.000
1	1	2	3	0.818	9	15	0.000	15	0	2188	1201.000
1	1	2	3	0.835	9	15	0.000	15	0	2195	1191.000
1	1	2	3	0.852	9	15	0.000	15	0	2197	1186.000
1	1	2	3	0.868	1	15	0.062	15	0	2197	1185.000
1	1	2	3	0.885	1	15	0.062	15	1	2197	1185.000
1	1	2	3	0.930	10	15	0.062	15	1	2197	1185.000
1	1	2	3	0.945	10	15	0.062	15	1	2197	1185.000
1	1	2	3	0.960	10	15	0.062	15	1	2197	1185.000
1	1	2	3	0.975	10	15	0.062	15	1	2197	1185.000
1	1	2	3	0.990	10	15	0.062	15	1	2197	1185.000
1	1	2	3	1.005	10	15	0.062	15	1	2197	1185.000
1	1	2	3	1.020	10	15	0.062	15	1	2197	1185.000
1	1	2	3	1.035	10	15	0.062	15	1	2197	1185.000
1	1	2	3	1.051	10	15	0.062	15	1	2196	1186.000
1	1	2	3	1.066	10	15	0.062	15	1	2178	1198.000
1	1	2	3	1.081	10	15	0.062	15	1	2161	1204.000
1	1	2	3	1.096	10	0	0.000	15	1	2142	1209.000
1	1	2	3	1.111	10	0	0.000	15	1	2114	1210.000
1	1	2	3	1.127	10	0	0.000	15	1	2080	1210.000
1	1	2	3	1.142	10	11	0.062	15	1	2062	1210.000
1	1	2	3	1.157	10	11	0.062	15	1	1998	1195.000
1	1	2	3	1.172	10	11	0.062	15	1	1986	1190.000
1	1	2	3	1.187	10	11	0.062	15	1	1985	1188.000
1	1	2	3	1.203	10	11	0.062	15	1	1985	1187.000
1	1	2	3	1.218	10	11	0.062	15	1	1985	1185.000
1	1	2	3	1.233	10	11	0.062	15	1	1985	1184.000
1	1	2	3	1.248	10	11	0.062	15	1	1985	1184.000
1	1	2	3	1.263	10	11	0.062	15	1	1985	1184.000
1	1	3	3	0.020	9	11	0.000	10	0	1985	1184.000
1	1	3	3	0.037	9	11	0.000	10	0	1985	1184.000
1	1	3	3	0.054	9	11	0.000	10	0	1985	1184.000
1	1	3	3	0.070	9	11	0.000	10	0	1985	1184.000
1	1	3	3	0.087	9	11	0.000	10	0	1985	1184.000
