sub	learn-doors	t	cond	onset	open_d	door	door_p	tgt_door	tgt_found	x	y
1	1	1	2	0.029	0	0	0.000	3	0	1585	1865.000
1	1	1	2	0.042	0	0	0.000	3	0	1585	1865.000
1	1	1	2	0.059	0	0	0.000	3	0	1585	1865.000
1	1	1	2	0.076	0	0	0.000	3	0	1585	1865.000
1	1	1	2	0.093	0	0	0.000	3	0	1585	1865.000
1	1	1	2	0.109	0	0	0.000	3	0	1585	1865.000
1	1	1	2	0.125	0	0	0.000	3	0	1585	1865.000
1	1	1	2	0.142	0	0	0.000	3	0	1585	1865.000
1	1	1	2	0.159	0	0	0.000	3	0	1579	1869.000
1	1	1	2	0.175	0	0	0.000	3	0	1557	1878.000
1	1	1	2	0.192	0	0	0.000	3	0	1526	1885.000
1	1	1	2	0.209	0	0	0.000	3	0	1487	1888.000
1	1	1	2	0.225	0	0	0.000	3	0	1439	1890.000
1	1	1	2	0.242	0	0	0.000	3	0	1414	1890.000
1	1	1	2	0.258	0	0	0.000	3	0	1408	1890.000
1	1	1	2	0.275	0	0	0.000	3	0	1408	1889.000
1	1	1	2	0.292	0	0	0.000	3	0	1408	1889.000
1	1	1	2	0.308	0	0	0.000	3	0	1408	1889.000
1	1	1	2	0.325	0	0	0.000	3	0	1408	1889.000
1	1	1	2	0.342	0	0	0.000	3	0	1408	1889.000
1	1	1	2	0.358	0	0	0.000	3	0	1407	1889.000
1	1	1	2	0.375	0	0	0.000	3	0	1407	1888.000
1	1	1	2	0.392	0	0	0.000	3	0	1406	1887.000
1	1	1	2	0.408	0	0	0.000	3	0	1406	1886.000
1	1	1	2	0.425	0	0	0.000	3	0	1406	1885.000
1	1	1	2	0.442	0	0	0.000	3	0	1405	1885.000
1	1	1	2	0.458	0	0	0.000	3	0	1405	1884.000
1	1	1	2	0.475	0	0	0.000	3	0	1405	1883.000
1	1	1	2	0.492	0	0	0.000	3	0	1405	1882.000
1	1	1	2	0.508	0	0	0.000	3	0	1405	1880.000
1	1	1	2	0.525	0	0	0.000	3	0	1405	1878.000
1	1	1	2	0.542	0	0	0.000	3	0	1405	1878.000
1	1	1	2	0.558	0	0	0.000	3	0	1405	1876.000
1	1	1	2	0.575	0	0	0.000	3	0	1405	1875.000
1	1	1	2	0.592	0	0	0.000	3	0	1405	1875.000
1	1	1	2	0.608	0	0	0.000	3	0	1405	1875.000
1	1	1	2	0.625	0	0	0.000	3	0	1405	1875.000
1	1	1	2	0.642	0	0	0.000	3	0	1405	1873.000
1	1	1	2	0.658	0	0	0.000	3	0	1405	1871.000
1	1	1	2	0.675	0	0	0.000	3	0	1405	1868.000
1	1	1	2	0.692	0	0	0.000	3	0	1405	1864.000
1	1	1	2	0.708	0	0	0.000	3	0	1406	1860.000
1	1	1	2	0.725	0	0	0.000	3	0	1406	1858.000
1	1	1	2	0.742	0	0	0.000	3	0	1407	1856.000
1	1	1	2	0.758	0	0	0.000	3	0	1407	1855.000
1	1	1	2	0.775	0	0	0.000	3	0	1407	1855.000
1	1	1	2	0.792	0	0	0.000	3	0	1407	1855.000
1	1	1	2	0.808	0	0	0.000	3	0	1407	1855.000
1	1	1	2	0.825	0	0	0.000	3	0	1407	1855.000
1	1	1	2	0.842	0	0	0.000	3	0	1407	1855.000
1	1	1	2	0.858	0	0	0.000	3	0	1407	1855.000
1	1	1	2	0.875	0	0	0.000	3	0	1407	1855.000
1	1	1	2	0.892	0	0	0.000	3	0	1407	1855.000
1	1	1	2	0.908	0	0	0.000	3	0	1407	1855.000
1	1	1	2	0.925	0	0	0.000	3	0	1407	1855.000
1	1	1	2	0.942	0	0	0.000	3	0	1407	1855.000
1	1	1	2	0.958	0	0	0.000	3	0	1408	1855.000
1	1	1	2	0.975	0	0	0.000	3	0	1408	1854.000
1	1	1	2	0.992	0	0	0.000	3	0	1421	1848.000
1	1	1	2	1.008	0	0	0.000	3	0	1455	1834.000
1	1	1	2	1.025	0	0	0.000	3	0	1514	1811.000
1	1	1	2	1.042	0	0	0.000	3	0	1601	1781.000
1	1	1	2	1.058	0	0	0.000	3	0	1748	1720.000
1	1	1	2	1.075	0	0	0.000	3	0	1806	1702.000
1	1	1	2	1.092	0	0	0.000	3	0	1830	1692.000
1	1	1	2	1.108	0	0	0.000	3	0	1842	1684.000
1	1	1	2	1.125	0	0	0.000	3	0	1854	1674.000
1	1	1	2	1.142	0	0	0.000	3	0	1859	1667.000
1	1	1	2	1.158	0	0	0.000	3	0	1860	1666.000
1	1	1	2	1.175	0	0	0.000	3	0	1860	1663.000
1	1	1	2	1.192	0	0	0.000	3	0	1841	1640.000
1	1	1	2	1.208	0	0	0.000	3	0	1818	1609.000
1	1	1	2	1.225	0	0	0.000	3	0	1810	1595.000
1	1	1	2	1.242	0	0	0.000	3	0	1804	1581.000
1	1	1	2	1.258	0	0	0.000	3	0	1803	1570.000
1	1	1	2	1.275	0	0	0.000	3	0	1803	1559.000
1	1	1	2	1.292	0	0	0.000	3	0	1803	1558.000
1	1	1	2	1.308	0	0	0.000	3	0	1803	1558.000
1	1	1	2	1.325	0	0	0.000	3	0	1803	1558.000
1	1	1	2	1.342	0	0	0.000	3	0	1803	1558.000
1	1	1	2	1.358	0	0	0.000	3	0	1803	1558.000
1	1	1	2	1.375	0	0	0.000	3	0	1803	1558.000
1	1	1	2	1.392	0	0	0.000	3	0	1803	1558.000
1	1	1	2	1.408	0	0	0.000	3	0	1803	1558.000
1	1	1	2	1.425	0	0	0.000	3	0	1803	1558.000
1	1	1	2	1.442	0	0	0.000	3	0	1804	1557.000
1	1	1	2	1.458	0	0	0.000	3	0	1806	1553.000
1	1	1	2	1.475	0	0	0.000	3	0	1808	1551.000
1	1	1	2	1.492	0	0	0.000	3	0	1809	1551.000
1	1	1	2	1.508	0	0	0.000	3	0	1809	1551.000
1	1	1	2	1.525	0	0	0.000	3	0	1809	1551.000
1	1	1	2	1.542	0	0	0.000	3	0	1809	1551.000
1	1	1	2	1.558	0	0	0.000	3	0	1809	1551.000
1	1	1	2	1.575	0	0	0.000	3	0	1809	1551.000
1	1	1	2	1.592	0	0	0.000	3	0	1809	1551.000
1	1	1	2	1.608	0	0	0.000	3	0	1809	1551.000
1	1	1	2	1.625	0	0	0.000	3	0	1809	1551.000
1	1	1	2	1.642	0	0	0.000	3	0	1809	1551.000
1	1	1	2	1.659	0	0	0.000	3	0	1809	1551.000
1	1	1	2	1.675	0	0	0.000	3	0	1809	1551.000
1	1	1	2	1.692	0	0	0.000	3	0	1809	1551.000
1	1	1	2	1.708	0	0	0.000	3	0	1809	1551.000
1	1	1	2	1.725	0	0	0.000	3	0	1809	1551.000
1	1	1	2	1.742	0	0	0.000	3	0	1809	1551.000
1	1	1	2	1.758	0	0	0.000	3	0	1809	1551.000
1	1	1	2	1.775	0	0	0.000	3	0	1809	1551.000
1	1	1	2	1.792	0	0	0.000	3	0	1809	1551.000
1	1	1	2	1.808	0	0	0.000	3	0	1809	1551.000
1	1	1	2	1.825	0	0	0.000	3	0	1809	1551.000
1	1	1	2	1.842	0	0	0.000	3	0	1809	1551.000
1	1	1	2	1.859	0	0	0.000	3	0	1809	1551.000
1	1	1	2	1.875	0	0	0.000	3	0	1811	1543.000
1	1	1	2	1.892	0	0	0.000	3	0	1814	1528.000
1	1	1	2	1.908	0	0	0.000	3	0	1816	1515.000
1	1	1	2	1.925	0	0	0.000	3	0	1818	1494.000
1	1	1	2	1.942	0	0	0.000	3	0	1818	1474.000
1	1	1	2	1.958	0	0	0.000	3	0	1818	1451.000
1	1	1	2	1.975	0	0	0.000	3	0	1818	1444.000
1	1	1	2	1.992	0	0	0.000	3	0	1819	1437.000
1	1	1	2	2.008	0	0	0.000	3	0	1819	1433.000
1	1	1	2	2.025	0	0	0.000	3	0	1819	1426.000
1	1	1	2	2.042	9	8	0.000	3	0	1819	1422.000
1	1	1	2	2.059	9	8	0.000	3	0	1820	1418.000
1	1	1	2	2.075	9	8	0.000	3	0	1821	1413.000
1	1	1	2	2.092	9	8	0.000	3	0	1822	1411.000
1	1	1	2	2.108	9	8	0.000	3	0	1822	1408.000
1	1	1	2	2.125	9	8	0.000	3	0	1822	1406.000
1	1	1	2	2.142	9	8	0.000	3	0	1823	1404.000
1	1	1	2	2.158	9	8	0.000	3	0	1823	1400.000
1	1	1	2	2.175	9	8	0.000	3	0	1824	1396.000
